ISO3Code,Country,catype,mae,vacc_prop,date
MHL,Marshall Islands,BRA,0.013453347920914602,,
MKD,North Macedonia,GEO,0.006060047152247872,0.39832931589431997,2022-09-11
MNE,Montenegro,GEO,0.004006230168961943,0.4537149264404906,2022-08-26
MUS,Mauritius,BRA,0.006870009317575617,0.7527266988217088,2022-09-25
MYS,Malaysia,BRA,0.005875823318353823,0.8194682269910228,2022-10-09
PAN,Panama,BRA,0.007009274505396394,0.7242495116939502,2022-09-30
PER,Peru,BRA,0.007514565958042134,0.8381362123597142,2022-10-08
PRY,Paraguay,BRA,0.012375997116419324,0.5242466249360996,2022-10-07
ROU,Romania,GEO,0.00935974789447146,0.41983308637580863,2022-06-11
RUS,Russian Federation,GEO,0.005884602862448513,0.5324680017274654,2022-10-07
SRB,Serbia,GEO,0.009441587051861093,0.4770684097773034,2022-06-23
SUR,Suriname,BRA,0.008223496446752977,0.38806722524568343,2022-05-23
THA,Thailand,GEO,0.006467660001750401,0.747000866732458,2022-09-30
TKM,Turkmenistan,BRA,0.012335104824498556,1.042124110374646,2022-09-04
TUR,Turkey,BRA,0.0031312210741083236,0.6271281821316947,2022-10-09
TUV,Tuvalu,BRA,0.012929401536224747,0.8046233488039986,2022-07-21
VCT,St. Vincent and the Grenadines,BRA,0.003998167046339788,0.300185944868305,2022-09-16
NRU,Nauru,ZMB,0.007655269470115548,0.686141304347826,2022-07-11
