ini_immune,f_mutant_beta,n_test,seq_prop,seq_mode,prob_not_detected,expected_day_1,sd_expected_day,prob95_day_1,max_diff,gmean_err,prop_days_w_mea,prop_days_abv20_absdiff
10,1.0,27,40,5,0.0,16.517,8.335057539344534,22,32.6748992692115,2.4725602851840156,13.33333333333333,16.63333333333333
10,1.0,27,45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,45,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,45,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,45,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,45,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,45,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,50,0,0.0,12.161,8.313133415697548,17,24.49408696731064,1.9071943261087427,13.33333333333333,10.75
10,1.0,27,50,1,0.0,49.938,11.257837043362054,50,47.258456965734865,2.2054664837428333,12.525555555555556,12.697853535353534
10,1.0,27,50,2,0.0,40.472,12.271830092281013,41,33.411103806943935,2.1417444797125196,13.306666666666667,10.774242424242424
10,1.0,27,50,3,0.0,32.392,12.689419110320117,41,29.148875080904634,2.2607694706656,13.33333333333333,10.341666666666665
10,1.0,27,50,4,0.0,26.124,11.890837481692197,37,26.554241228377446,2.195612342460172,13.33333333333333,9.8
10,1.0,27,50,5,0.0,15.64,8.095303202100212,20,34.0628610263478,2.498099711407701,13.33333333333333,16.875
10,1.0,27,55,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,55,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,55,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,55,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,55,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,55,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,60,0,0.0,10.482,7.902539220157412,16,24.531816740920636,1.9088648871509521,13.33333333333333,10.925
10,1.0,27,60,1,0.0,49.638,11.484286867056433,52,46.91985378241165,2.2448566979803766,12.583333333333332,13.037070707070706
10,1.0,27,60,2,0.0,39.964,12.26340471056448,43,33.81991964303851,2.188205604814079,13.319999999999999,10.862121212121211
10,1.0,27,60,3,0.0,32.806,12.47308870897429,41,28.756241403946444,2.2463164987476927,13.33333333333333,10.016666666666666
10,1.0,27,60,4,0.0,25.488,11.668333471666209,37,26.66863122177282,2.179997349866806,13.33333333333333,9.85
10,1.0,27,60,5,0.0,15.106,7.650836509774555,19,35.1068723715683,2.5180255003171723,13.33333333333333,16.85833333333333
10,1.0,27,65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,65,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,65,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,65,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,65,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,65,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,70,0,0.0,9.939,7.619799232285608,16,24.484086351405416,1.90754208107839,13.33333333333333,10.70833333333333
10,1.0,27,70,1,0.0,49.573,11.341574066341158,55,46.77149484537738,2.1934186453245257,12.6,12.521641414141413
10,1.0,27,70,2,0.0,40.463,12.157484749545665,42,33.561594266900165,2.1574670312969917,13.31222222222222,10.493939393939394
10,1.0,27,70,3,0.0,32.347,12.545995097759006,40,29.01298782487266,2.2241847815513505,13.33333333333333,10.058333333333332
10,1.0,27,70,4,0.0,25.477,11.795533290428443,36,26.41808995309508,2.1776309536431406,13.33333333333333,9.641666666666666
10,1.0,27,70,5,0.0,14.784,7.453515875001469,17,35.98766054156034,2.5159492267564514,13.33333333333333,16.96666666666666
10,1.0,27,75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
